Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
23/09/2011,Vinalines Trader,1997,69614,0,PERIOD,CNR,YUHUAN,,WORLD WIDE,WORLD WIDE,25/09/2011,30/09/2011,10500,$/Day,3-5 Months,,Vinalines Shipping
20/09/2011,Avax,2006,75399,0,PERIOD,CARGILL,RIZHAO,,WORLD WIDE,WORLD WIDE,22/09/2011,24/09/2011,14250,$/Day,4-6 Months,,Efnav Co. Ltd.
19/09/2011,Torm Anholt,2004,74195,0,PERIOD,KLAVENESS,XIAMEN,,WORLD WIDE,WORLD WIDE,22/09/2011,22/09/2011,14250,$/Day,4-6 Months,,"Torm, Dampskibss"
19/09/2011,Red Jasmine,2006,76596,0,PERIOD,WBC,ROTTERDAM,,WORLD WIDE,WORLD WIDE,22/09/2011,24/09/2011,19100,$/Day,4-6 Months,,Nissen Kaiun K.K.
19/09/2011,Mulberry Wilton,2004,76453,0,PERIOD,CNR,MONTOIR,,WORLD WIDE,WORLD WIDE,20/09/2011,30/09/2011,23500,$/Day,2-4 Months,,Daiichi Chuo Marine
19/09/2011,Rosco Olive,2010,74979,0,PERIOD,EDF,LONGKOU,,WORLD WIDE,WORLD WIDE,21/09/2011,26/09/2011,13600,$/Day,4-6 Months,,Rewood Ocean Shpg.
16/09/2011,Angelic Power,2002,74764,0,PERIOD,INTERMARINE,SHANGHAI,,WORLD WIDE,WORLD WIDE,19/09/2011,24/09/2011,14000,$/Day,4-6 Months,,Diamlemos Shpg. Corp
15/09/2011,Yasa H Mehmet,2011,83482,0,PERIOD,CARGILL,MIZUSHIMA,,WORLD WIDE,WORLD WIDE,25/09/2011,05/10/2011,0,$/Day,1 Years,,
14/09/2011,Hephaestus,2001,74350,0,PERIOD,CARGILL,Lianyungang,,WORLD WIDE,WORLD WIDE,14/09/2011,16/09/2011,14500,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
13/09/2011,Carola,1997,73740,0,PERIOD,GOLDEN OCEAN,KOSICHANG,,WORLD WIDE,WORLD WIDE,15/09/2011,22/09/2011,14000,$/Day,5-7 Months,,"Blumenthal, Johann"
