Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
13/12/2011,Clipper Monarch,2000,74381,0,TCT,OLDENDORFF,GDYNIA,BALTIC,UKC,UKC,17/12/2011,22/12/2011,22000,$/Day,,Clipper Group
13/12/2011,Genco Vigour,1999,73941,0,ORE,VISTA,HADERA,BLACK SEA,CHINA,CHINA,13/12/2011,13/12/2011,30000,$/Day,,Genco Shpg. & Trdg.
13/12/2011,Gao Zhou Hai,1994,69952,0,TCT,PROLINE,MALTA,West Africa,CHINA,CHINA,10/12/2011,10/12/2011,23000,$/Day,,COSCO Bulk Carrier
12/12/2011,Okinawa,2009,80500,0,TCT,CNR,FUJAIRAH,PG,EC INDIA,EC INDIA,13/12/2011,17/12/2011,15500,$/Day,,Dynacom Tankers Mngt
12/12/2011,Intuition,2011,80387,0,FERTS,AQUAVITA,SKAW,BALTIC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,24/12/2011,29/12/2011,27000,$/Day,,Aegean Bulk Co. Inc.
12/12/2011,Great Talent,2005,76773,0,TCT,CNR,ROTTERDAM,ROTTERDAM,Skaw-Gibraltar,Skaw-Gibraltar,17/12/2011,20/12/2011,15500,$/Day,,Sinotrans Shpg. Ltd.
12/12/2011,Double Happiness,2005,76602,0,TCT,CNR,UBE,NOPAC,FAR EAST,FAR EAST,10/12/2011,15/12/2011,11500,$/Day,,Pacific Carriers
12/12/2011,Rosco Gingko,2005,76620,0,TCT,SIVA,XINGANG,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,12/12/2011,12/12/2011,10000,$/Day,,Rewood Ocean Shpg.
12/12/2011,Grand Sky,1998,75752,0,TCT,CNR,XIAMEN,EC AUST,SINGAPORE-JAPAN,SINGAPORE-JAPAN,12/12/2011,17/12/2011,11000,$/Day,,Daishin Senpaku K.K.
12/12/2011,Audax,2001,75220,0,TCT,K LINE,INCHON,NOPAC,JAPAN,JAPAN,12/12/2011,12/12/2011,11250,$/Day,,Transocean Maritime
12/12/2011,Sumihou,2011,74940,0,TCT,CSE,TACHIBANA,EC AUST,TAIWAN,TAIWAN,13/12/2011,15/12/2011,12500,$/Day,,Doun Kisen K.K.
12/12/2011,Alpha Melody,2002,74374,0,TCT,NOBLE,XIAMEN,INDONESIA,EC INDIA,EC INDIA,11/12/2011,12/12/2011,11000,$/Day,,Alpha Tankers & Frt.
12/12/2011,Gallia Graeca,2001,74133,0,TCT,CARGILL,PHU MAY,INDONESIA,FAR EAST,FAR EAST,16/12/2011,20/12/2011,12000,$/Day,,Angelakos Ltd.
12/12/2011,Piro,1997,73726,0,TCT,DAEYANG,ZHOUSHAN,EC AUST,SOUTH KOREA,SOUTH KOREA,18/12/2011,20/12/2011,10500,$/Day,,F. Laeisz
12/12/2011,Zagora,2001,73435,0,TCT,ALFRED C.TOEPFER,ZHANJIANG,ECSA,CHINA,CHINA,12/12/2011,12/12/2011,11000,$/Day,,Goulandris Bros.
12/12/2011,Deep Seas,1999,72891,0,TCT,CNR,DALIAN,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,12/12/2011,12/12/2011,12000,$/Day,,Paragon Shpg.
12/12/2011,TBN,,0,63000,GRAIN,MARUBENI,,BRAZIL,KAOHSIUNG,,16/01/2012,25/01/2012,41,$/Tonne,,
09/12/2011,Medi Lausanne,2006,83002,0,TCT,GLENCORE,ANTWERP,USEC,INDIA,INDIA,16/12/2011,20/12/2011,27000,$/Day,,Fukujin Shipping
09/12/2011,Fortune Rainbow,2008,82372,0,TCT,COBELFRET,HALDIA,RICHARDS BAY,MALAYSIA,MALAYSIA,08/12/2011,10/12/2011,10500,$/Day,,Cido Shipping
