Panamax Bulker Register,,,,,,,,,,,
"Bulkers 65,000 - 99,999 dwt",,,,,,,,,,,
,,,,,,,,,,,
Created 17 July 2014 15:18,,,,,,,,,,,
,,,,,,,,,,,
Type,Hull Type,Name,Size,Unit,Dwt,GT,Flag,Built,Mn,Yard,Current Owner
Bulk,,Cemtex Creation,"82,000.00",DWT,82000,45232,Singapore,2013,8,Guangzhou Longxue,Far Eastern Group
Bulk,,RTM Dhambul,"72,562.00",DWT,72562,38617,United Kingdom,2013,9,Oshima S.B. Co.,Rio Tinto Group
Bulk,,Lord Star,"82,938.00",DWT,82938,43656,Panama,2013,9,Sanoyas S.B. Corp,Nissen Kaiun K.K.
Bulk,,Odysseas L,"81,450.00",DWT,81450,44180,Liberia,2013,8,Hyundai Samho,Kyla Shipping Co.
Chip,,Nanjing Express,"70,475.00",DWT,70475,54529,Hong Kong,2013,9,Nantong Mingde,Nova Shpg & Logist.
Bulk,,Semiramis,"82,620.00",DWT,82620,44827,Liberia,2013,8,STX Shipbuild.,Efnav Co. Ltd.
Bulk,,BBG Hope,"82,044.00",DWT,82044,44373,Hong Kong,2013,8,Beihai Shipyard,Beibu Gulf Port
Bulk,,Panorea,"81,425.00",DWT,81425,44619,Malta,2013,8,SPP Shipbuilding,Eastern Med. Mar.
Bulk,,GL Colmena,"98,704.00",DWT,98704,51905,Panama,2013,8,Tsuneishi Zhoushan,Glocal Japan Inc.
Bulk,,Odysseas,"82,000.00",DWT,82000,44289,Liberia,2013,8,Zhejiang Ouhua,Hellenic Carriers
Bulk,,AM Krakow,"81,752.00",DWT,81752,43987,Marshall Islands,2013,8,New Times S.B.,ArcelorMittal Shpg.
Bulk,,Beskidy,"82,138.00",DWT,82138,43025,Liberia,2013,8,Tsuneishi Zosen,Polish Steamship Co.
Bulk,,Chengyang Eminence,"76,117.00",DWT,76117,41612,Hong Kong,2013,8,Zhejiang Yangfan,Chengyang Shpg
Bulk,,Oriental Angel,"95,711.00",DWT,95711,50625,Liberia,2013,8,Imabari S.B.,Toyo Sangyo Co.
Bulk,,Corinna,"81,675.00",DWT,81675,43951,Greece,2013,7,Wuhu Shipyard,Halcoussis Z. & G.
Bulk,,Legato II,"78,245.00",DWT,78245,41963,Panama,2013,7,Toyohashi SB,KN Maritime
Bulk,,Zheng Rong,"81,793.00",DWT,81793,43951,Panama,2013,7,Wuhu Shipyard,Fujian Ocean Shpg
Bulk,,Vitaocean,"82,250.00",DWT,82250,43013,Panama,2013,7,Tsuneishi Zosen,Vita Management S.A.
Bulk,,KM Fukuyama,"82,224.00",DWT,82224,43013,Panama,2013,7,Tsuneishi Zosen,Marubeni Corp
Bulk,,Minami,"85,555.00",DWT,85555,46700,Panama,2013,7,Oshima S.B. Co.,Mitsui O.S.K. Lines
Open Hatch,,Petrel Arrow,"72,800.00",DWT,72800,46112,Bahamas,2013,7,Mitsui SB,Gearbulk Ltd.
Bulk,,Shoyoh,"97,114.00",DWT,97114,60876,Panama,2013,7,Japan Marine United,Daiichi Chuo
Bulk,,Master,"81,588.00",DWT,81588,44619,Liberia,2013,7,SPP Shipbuilding,Delek Transport
Bulk,,Balchen,"71,348.00",DWT,71348,43691,Marshall Islands,2013,9,Chengxi Shipyd.,Torvald Klaveness
Bulk,,Zoe,"74,702.00",DWT,74702,40334,Cyprus,2013,7,Sasebo H.I.,Safe Bulkers Inc.
